Posture Duration (s),Rear Left Paw Posed Duration (s),Rear Right Paw Posed Duration (s),Rear Paws Posed Duration (s),Rear Together Paws Posed Duration (s),Rearing Duration (s),Front Left Paw Posed Duration (s),Front Right Paw Posed Duration (s),Front Paws Posed Duration (s),Front Together Paws Posed Duration (s),Other Paw Posed Duration (s),Posture Duration (s).1,Rear Left Paw Weight (g),Rear Right Paw Weight (g),Rear Paws Weight (g),Rear Together Paws Weight (g),Rearing Weight (g),Front Left Paw Weight (g),Front Right Paw Weight (g),Front Paws Weight (g),Front Together Paws Weight (g),Other Paw Weight (g),Front/Rear Weight Ratio,Left/Right Weight Ratio,Rear Left/Rear Right Weight Ratio,Posture Duration (s).2,Rear Left Paw Area (mm¬?),Rear Right Paw Area (mm¬?),Rear Paws Area (mm¬?),Rear Together Paws Area (mm¬?),Rearing Area (mm¬?),Front Left Paw Area (mm¬?),Front Right Paw Area (mm¬?),Front Paws Area (mm¬?),Front Together Paws Area (mm¬?),Other Paw Area (mm¬?),Front/Rear Area Ratio,Left/Right Area Ratio,Rear Left/Rear Right Area Ratio,Timepoint,Mouse_number,Day_timepoint,Front Left Paw Weight (%),Front Right Paw Weight (%),Front Paws Weight (%),Front Together Paws Weight (%),Rear Left Paw Weight (%),Rear Right Paw Weight (%),Rear Paws Weight (%),Rear Together Paws Weight (%),Rearing Weight (%),Other Paw Weight (%),Sample_group,Sample_name
50.612,50.314,50.314,50.612,50.612,46.612,3.96,3.96,4,4,3.861,50.612,14.35,14.1,28.45,28.45,29.14,0.39,0.31,8.88,8.88,0.77,0.31,1.02,1.02,50.612,14.7,16.4,31.09,31.09,31.85,0.37,0.59,12.13,12.13,0.52,0.39,0.89,0.9,2,186,21,,,,,,,,,,,107463,186
57.37,57.006,57.006,57.37,57.37,22.621,30.652,28.577,34.749,24.828,0,57.37,11.27,13.2,24.46,24.46,30.17,2.72,3.13,9.66,11.06,0,0.39,0.86,0.85,57.37,13.13,14.67,27.8,27.8,31.43,4.94,5.56,17.33,19.78,0,0.62,0.89,0.89,3,186,34,,,,,,,,,,,107463,186
110.741,109.909,109.909,110.741,110.741,102.02,7.842,7.941,8.721,7.153,0,110.741,14.87,16.93,31.8,31.8,32.88,0.3,0.37,8.52,8.37,0,0.27,0.88,0.88,110.741,19.99,19.83,39.81,39.81,41.12,0.69,0.55,15.78,17.01,0,0.4,1.02,1.01,4,186,49,,,,,,,,,,,107463,186
46.056,45.874,45.874,46.056,46.056,27.493,15.609,16.429,18.563,13.682,15.678,46.056,13.12,12.5,25.62,25.62,27.43,2.13,1.99,10.23,11.17,0.73,0.4,1.05,1.05,46.056,15.03,14.17,29.19,29.19,30.86,3.33,3.62,17.22,18.81,1.68,0.59,1.03,1.06,5,186,63,,,,,,,,,,,107463,186
50.717,50.488,50.488,50.717,50.717,19.708,30.853,25.576,31.009,25.696,0,50.717,11.38,14.23,25.6,25.6,32.44,,,,,0,0.44,0.88,0.8,50.717,12.66,14.42,27.08,27.08,27.36,6.75,5.27,19.62,21.81,0,0.72,0.99,0.88,6,186,77,,,,,,,,,,,107463,186
59.753,58.792,59.551,59.753,59.001,18.717,38.776,37.897,41.036,35.786,0,59.753,11.7,12.05,23.74,23.94,32.11,,,,,0,0.52,0.95,0.98,59.753,13.48,13.7,27.18,27.26,31.46,6.02,6.96,18.9,20.12,0,0.7,0.94,1,7,186,91,,,,,,,,,,,107463,186
42.658,42.498,42.498,42.658,42.658,30.062,9.208,9.88,12.596,6.498,15.416,42.658,16.86,18.64,35.51,35.51,37.45,1.72,1.78,11.86,16.35,5.58,0.33,0.91,0.9,42.658,18.02,20.32,38.34,38.34,39.94,2.85,3,19.83,25.02,5.17,0.52,0.89,0.89,1,181,0,,,,,,,,,,,117067,181
52.815,52.37,52.37,52.815,52.815,6.943,42.767,44.681,45.872,42.337,11.484,52.815,13.71,13.14,26.85,26.85,37.26,6.75,8.14,17.15,17.72,0.75,0.64,0.96,1.04,52.815,15.35,14.81,30.16,30.16,48.23,9.03,10.15,22.09,22.58,1.75,0.73,0.98,1.04,2,181,22,,,,,,,,,,,117067,181
59.45,58.392,59.106,59.45,58.746,12.445,40.149,46.005,47.005,39.615,0,59.45,16.37,20.05,36.42,36.58,42.79,,,,,0,0.53,0.85,0.83,59.45,15.42,19.31,34.74,34.94,39.2,9.33,10.25,24.79,26.76,0,0.71,0.84,0.81,3,181,36,,,,,,,,,,,117067,181
50.746,50.408,50.408,50.746,50.746,41.292,8.631,9.39,9.454,8.686,27.807,50.746,24.28,21.52,45.8,45.8,48.54,1.73,2.21,21.19,21.39,5.87,0.46,1.1,1.13,50.746,18.8,19.29,38.08,38.08,40.25,1.85,2.69,24.42,24.92,15.13,0.64,0.94,0.97,4,181,49,,,,,,,,,,,117067,181
56.232,55.935,55.935,56.232,56.232,17.902,33.038,30.149,38.33,25.113,0,56.232,20.71,19.31,40.03,40.03,48.82,,,,,0,0.4,1.12,1.07,56.232,19.39,17.26,36.65,36.65,44.04,7.24,5.6,18.84,20.83,0,0.51,1.17,1.12,5,181,64,,,,,,,,,,,117067,181
52.798,52.452,52.452,52.798,52.798,7.615,42.948,44.169,45.183,42.479,0,52.798,14.5,16.91,31.41,31.41,44.38,7.58,8.87,19.24,19.12,0,0.61,0.86,0.86,52.798,15.22,15.79,31.01,31.01,39.69,9.3,9.87,22.4,22.33,0,0.72,0.96,0.96,6,181,82,,,,,,,,,,,117067,181
67.727,67.413,67.413,67.727,67.727,38.622,18.938,14.993,29.105,4.993,34.34,67.727,21.21,29.2,50.41,50.41,57.96,,,,,3.46,0.32,0.77,0.73,67.727,21.1,30.03,51.13,51.13,56.38,4.73,3.86,19.98,34.4,10.29,0.39,0.76,0.7,7,181,92,,,,,,,,,,,117067,181
46.254,46.059,46.059,46.254,46.254,31.197,7.593,9.756,15.057,2.368,0.884,46.254,15.22,14.98,30.21,30.21,33.99,1.44,1.73,9.74,13.01,0.08,0.32,1,1.02,46.254,22.27,19.53,41.8,41.8,45.16,2.03,2.77,14.74,21.79,0.21,0.35,1.09,1.14,1,153,0,,,,,,,,,,,97479,153
50.47,50.083,50.083,50.47,50.47,9.151,40.981,40.981,41.319,41.319,13.893,50.47,11.87,11.51,23.38,23.38,41.36,7.05,7.51,17.78,17.78,0.7,0.76,0.99,1.03,50.47,14.17,14.99,29.16,29.16,44.23,11.21,11.08,27.24,27.24,1.79,0.93,0.97,0.95,2,153,20,,,,,,,,,,,97479,153
46.373,46.187,44.57,46.373,44.741,0,45.099,39.389,46.373,38.436,42.795,46.373,13.63,4.68,18.31,18.27,0,7.45,4.34,11.8,11.96,10.01,0.64,2.34,2.76,46.373,16.59,11.37,27.95,28.08,0,15.42,9.91,25.33,23.93,30.63,0.91,1.5,1.38,3,153,34,,,,,,,,,,,97479,153
62.846,62.461,60.712,62.846,61.087,18,44.609,42.763,44.846,43.006,21.217,62.846,16.4,14.76,31.15,31.68,49.91,7.55,5.59,18.4,18.71,1.07,0.59,1.18,1.09,62.846,14.84,15.75,30.59,31.16,41.98,11.63,8.25,27.84,28.3,2.88,0.91,1.1,0.92,4,153,49,,,,,,,,,,,97479,153
46.379,46.173,45.051,46.379,45.243,1.377,44.779,44.779,45.002,45.002,27.982,46.379,12.05,6.35,18.4,18.46,42.59,9.3,6.4,16.17,16.17,3.6,0.88,1.68,1.84,46.379,14.77,12.55,27.32,27.69,45.78,14.75,13.44,29.05,29.05,9.92,1.06,1.14,1.15,5,153,63,,,,,,,,,,,97479,153
46.993,46.643,46.643,46.993,46.993,0,46.643,46.643,46.993,46.993,37.848,46.993,12.47,9.31,21.78,21.78,0,7.85,8.3,16.15,16.15,10.97,0.74,1.15,1.34,46.993,14.71,23.13,37.84,37.84,0,15.69,14.66,30.35,30.35,41.04,0.8,0.8,0.64,6,153,77,,,,,,,,,,,97479,153
57.007,56.513,55.527,57.007,56.031,0,56.513,55.787,57.007,56.271,33.524,57.007,10.76,8.19,18.95,19.1,0,8.15,8.5,16.65,16.64,3.12,0.88,1.13,1.29,57.007,12,11.52,23.52,23.68,0,13.44,13.82,27.26,27.4,6.17,1.16,1,1.02,7,153,91,,,,,,,,,,,97479,153
48.995,44.713,48.772,48.995,44.899,0,43.133,48.772,48.995,43.378,34.594,48.995,12.07,13.51,25.58,26.57,0,7.63,8.49,16.12,17.16,6.68,0.63,0.9,0.98,48.995,17.89,18.56,36.45,38.4,0,10.48,16.5,26.98,28.23,15.91,0.74,0.81,1.03,1,154,0,,,,,,,,,,,97479,154
50.986,50.587,50.587,50.986,50.986,7.805,39.378,42.824,43.181,39.758,0,50.986,12.62,8.67,21.29,21.29,33.58,4.26,6.33,12.51,12.82,0,0.59,1.13,1.46,50.986,16.39,11.5,27.9,27.9,39.45,6.31,11.43,20.95,21.65,0,0.75,0.99,1.43,2,154,302,,,,,,,,,,,97479,154
45.856,45.473,45.473,45.856,45.856,0,44.623,34.781,45.856,34.208,23.542,45.856,13.22,12.07,25.29,25.29,0,8.79,4.6,13.39,14.78,7.37,0.53,1.32,1.09,45.856,22.39,19.72,42.11,42.11,0,12.79,9.3,22.09,25.61,19.91,0.52,1.21,1.14,3,154,322,,,,,,,,,,,97479,154
44.136,43.975,43.975,44.136,44.136,0,43.183,40.495,44.136,39.866,40.156,44.136,9.74,8.83,18.57,18.57,0,6.81,7.41,14.21,14.71,8.72,0.77,1.02,1.1,44.136,14.69,16.21,30.89,30.89,0,12.71,12.5,25.21,25.81,28.11,0.82,0.95,0.91,4,154,336,,,,,,,,,,,97479,154
51.232,50.919,50.919,51.232,51.232,4.352,40.371,45.243,46.88,39.247,0,51.232,16.79,11.41,28.19,28.19,45.95,7.25,9.05,17.82,18.85,0,0.63,1.18,1.47,51.232,16.79,13.66,30.45,30.45,38.6,9.83,11.47,23.29,25.04,0,0.76,1.06,1.23,5,154,351,,,,,,,,,,,97479,154
46.359,46.057,46.057,46.359,46.359,0,46.057,46.057,46.359,46.359,20.012,46.359,6.6,14.04,20.64,20.64,0,9.42,8.91,18.33,18.33,3.35,0.89,0.7,0.47,46.359,11.77,14.88,26.64,26.64,0,13.19,12.91,26.11,26.11,12.56,0.98,0.9,0.79,6,154,379,,,,,,,,,,,97479,154
52.372,52.067,52.067,52.372,52.372,24.518,23.134,26.863,27.854,22.477,9.401,52.372,20.92,16.88,37.81,37.81,45.65,3.48,5.42,16.73,17.32,0.85,0.44,1.09,1.24,52.372,21.06,19.62,40.68,40.68,45.34,5.55,6.94,23.49,24.91,2.25,0.58,1,1.07,7,154,393,,,,,,,,,,,97479,154
48.386,48.086,48.086,48.386,48.386,30.143,17.153,18.173,18.243,17.234,0,48.386,17.35,15.53,32.88,32.88,37.4,2.33,3.12,14.47,14.7,0,0.44,1.05,1.12,48.386,16.18,18.83,35.01,35.01,38.02,3.63,4.47,21.52,21.64,0,0.61,0.85,0.86,1,501,0,,,,,,,,,,,107442,501
58.577,58.195,58.195,58.577,58.577,18.642,37.656,36.225,39.935,34.464,21.052,58.577,15.75,17.81,33.56,33.56,49.41,6.87,5.82,18.61,20.41,1.59,0.55,0.96,0.88,58.577,18.77,23.53,42.3,42.3,54.24,8.7,9.49,26.68,29.1,4.97,0.63,0.83,0.8,2,501,21,,,,,,,,,,,107442,501
50.878,50.635,50.635,50.878,50.878,26.316,12.908,18.937,24.562,7.409,8.314,50.878,19.05,15.18,34.23,34.23,39.17,2.37,4.4,14.02,17.67,0.57,0.41,1.09,1.25,50.878,16.8,16.57,33.37,33.37,36.27,3.55,6.48,20.78,26.29,1.55,0.62,0.88,1.01,3,501,35,,,,,,,,,,,107442,501
45.935,45.564,44.475,45.935,44.83,4.096,40.713,37.809,41.839,37.311,32.201,45.935,19.87,11.4,31.27,31.61,55.14,9.3,8.19,19.2,19.98,5.07,0.61,1.49,1.71,45.935,17.14,16.2,33.34,33.66,41.07,12.69,11.67,26.75,28.26,12.77,0.8,1.07,1.03,4,501,49,,,,,,,,,,,107442,501
53.634,53.206,53.206,53.634,53.634,10.226,43.006,0,43.408,0,5.683,53.634,15.5,16.69,32.18,32.18,41.79,10.49,0,12.96,0,0.49,0.4,1.56,0.93,53.634,18.38,19.48,37.86,37.86,44.85,15.09,0,18.64,0,1.61,0.49,1.72,0.94,5,501,63,,,,,,,,,,,107442,501
48.461,48.054,48.054,48.461,48.461,0,43.5,48.054,48.461,43.853,27.839,48.461,,,,,,,,,,,0.58,0.75,0.74,48.461,12.84,18.53,31.38,31.38,0,11.64,13.12,24.75,25.52,7.36,0.79,0.77,0.69,6,501,77,15.34,20.33,35.66,35.65,26.23,35.42,61.65,61.65,0,4.91,107442,501
55.949,55.694,55.694,55.949,55.949,12.063,42.989,43.715,43.886,43.15,0,55.949,16.87,16.27,33.14,33.14,46.92,6.73,7.39,18.02,18.12,0,0.54,1,1.04,55.949,18.78,18.63,37.41,37.41,43.83,10.57,12.12,28.96,29.13,0,0.77,0.95,1.01,7,501,91,,,,,,,,,,,107442,501
87.662,87.122,87.122,87.662,87.662,83.006,2.76,2.595,4.656,0.704,0,87.662,14.81,11.66,26.47,26.47,26.85,0.37,0.12,9.18,13.32,0,0.35,1.29,1.27,87.662,14.92,15.77,30.69,30.69,30.9,0.5,0.27,14.3,22.92,0,0.47,0.96,0.95,1,96,0,,,,,,,,,,,107455,96
46.064,45.855,45.855,46.064,46.064,17.185,25.9,27.248,28.879,24.417,9.73,46.064,12.06,12.99,25.05,25.05,33.13,3.76,3.93,12.28,12.52,1.54,0.49,0.94,0.93,46.064,13.29,15.2,28.49,28.49,26.57,5.69,6.42,19.32,20.34,1.9,0.68,0.88,0.87,2,96,21,,,,,,,,,,,107455,96
46.862,46.576,46.576,46.862,46.862,25.393,14.581,21.341,21.469,14.687,4.862,46.862,11.43,9.54,20.96,20.96,25.64,1.6,3.77,11.72,13.35,0.26,0.56,0.98,1.2,46.862,14.11,15.86,29.98,29.98,35.4,2.79,4.99,16.96,19.08,0.82,0.57,0.81,0.89,3,96,35,,,,,,,,,,,107455,96
54.973,54.589,54.589,54.973,54.973,2.8,51.817,47.226,52.173,47.566,11.352,54.973,7.37,7.42,14.79,14.79,16.32,7.35,6.56,14.66,15.26,0.67,0.99,1.05,0.99,54.973,9.88,8.5,18.38,18.38,18.03,11.42,8.22,20.68,21.66,1.75,1.13,1.27,1.16,4,96,49,,,,,,,,,,,107455,96
52.707,52.227,52.227,52.707,52.707,0,52.227,37.476,52.707,37.81,27.081,52.707,8.12,7.78,15.9,15.9,0,12.71,3.84,16.55,16.55,3.82,1.04,1.79,1.04,52.707,9.86,9.24,19.1,19.1,0,17.99,8.13,26.12,23.97,11.33,1.37,1.6,1.07,5,96,63,,,,,,,,,,,107455,96
60.482,60.026,60.026,60.482,60.482,5.775,53.492,50.951,54.707,50.468,16.632,60.482,8.56,7.53,16.09,16.09,24.45,5.54,4.82,11.45,11.55,0.65,0.71,1.14,1.14,60.482,11.75,8.47,20.22,20.22,35.5,8.34,8,18.06,18.67,2.06,0.89,1.22,1.39,6,96,77,,,,,,,,,,,107455,96
50.945,41.738,50.601,50.945,42.049,0,47.11,44.793,50.945,41.554,0,50.945,5.46,5.41,10.87,12,0,8.43,4.88,13.31,14.13,0,1.22,1.35,1.23,50.945,9.06,8.86,17.91,20.24,0,10.57,7.88,18.45,18.79,0,1.03,1.17,1.18,7,96,91,,,,,,,,,,,107455,96
71.179,70.686,70.686,71.179,71.179,23.79,42.936,46.302,47.389,42.397,0,71.179,14.85,20.78,35.62,35.62,45.62,6.59,7.07,20.52,21.31,0,0.58,0.77,0.71,71.179,17.98,22.39,40.37,40.37,46.54,8.21,8.7,25.39,26.51,0,0.63,0.84,0.8,1,500,0,,,,,,,,,,,97494,500
57.139,56.651,55.397,57.139,55.875,4.401,52.295,52.295,52.738,52.738,39.369,57.139,13.16,14.57,27.73,27.69,53.79,6.37,11.23,19.08,19.08,2.83,0.69,0.76,0.86,57.139,13.66,23.39,37.05,37.34,40.55,10.14,13.49,25.6,25.6,7.43,0.69,0.65,0.56,2,500,21,,,,,,,,,,,97494,500
103.191,102.555,102.555,103.191,103.191,12.094,88.775,70.943,91.097,69.642,0,103.191,14.48,21.68,36.16,36.16,47.39,11.81,8.94,23.5,24.42,0,0.65,0.86,0.67,103.191,17.33,21.51,38.84,38.84,42.92,13.63,9.64,26.36,28.85,0,0.68,0.99,0.81,3,500,35,,,,,,,,,,,97494,500
59.988,59.663,59.663,59.988,59.988,6.319,49.311,53.337,53.669,49.603,0,59.988,19.31,18.71,38.02,38.02,51.47,10.13,14,26.97,27.38,0,0.71,0.9,1.03,59.988,18.97,18.93,37.9,37.9,45.89,11.65,12.98,27.53,28.34,0,0.73,0.96,1,4,500,49,,,,,,,,,,,97494,500
79.339,78.822,78.822,79.339,79.339,9.951,66.361,68.044,69.388,66.027,0,79.339,14.17,13.79,27.96,27.96,40.49,9.48,10.96,23.37,23.86,0,0.84,0.96,1.03,79.339,13.79,16.39,30.19,30.19,36.29,12.71,12.09,28.34,29.01,0,0.94,0.93,0.84,5,500,63,,,,,,,,,,,97494,500
48.3,48.133,48.133,48.3,48.3,11.568,33.688,36.632,36.732,33.789,34.221,48.3,,,,,,,,,,,0.62,0.93,0.92,48.3,23.4,22.67,46.07,46.07,63.44,10.92,11.22,29.11,30.54,13.8,0.63,1.01,1.03,6,500,77,16.38,16.99,43.87,45.67,34,36.92,70.92,70.92,97.05,8.6,97494,500
58.13,56.377,53.341,58.13,52.417,0,57.697,57.697,58.13,58.13,52.719,58.13,9.49,12.52,22.01,23.29,0,7.8,12.23,20.03,20.03,15.27,0.91,0.7,0.72,58.13,18.63,14.67,33.3,34.68,0,11.9,15.09,27,27,46.78,0.81,1.03,1.2,7,500,91,,,,,,,,,,,97494,500
52.206,0,0,52.206,52.206,9.105,0,0,43.101,33.932,0,52.206,0,0,0,0,0,0,0,0,0,0,0,0,0,52.206,19.79,27.5,47.3,47.3,45.65,6.52,7.79,17.32,19.45,17.78,0.37,0.75,0.72,1,152,0,,,,,,,,,,,97479,152
45.088,44.969,44.969,45.088,45.088,16.465,27.759,28.518,28.623,27.855,18.132,45.088,12.5,19.03,31.52,31.52,40.7,5.59,5.08,16.83,16.89,2.41,0.53,0.75,0.66,45.088,18.75,28.96,47.71,47.71,51.31,8.21,10.39,29.33,29.73,8.89,0.61,0.69,0.65,2,152,14,,,,,,,,,,,97479,152
49.457,49.218,49.218,49.457,49.457,11.12,38.154,38.154,38.337,38.337,15.933,49.457,13.03,16.5,29.53,29.53,41.59,7.34,7.31,18.9,18.9,2.48,0.64,0.86,0.79,49.457,15.93,18.36,34.29,34.29,41.13,9.39,9.88,24.87,24.87,6.1,0.73,0.9,0.87,3,152,29,,,,,,,,,,,97479,152
47.975,47.669,47.669,47.975,47.975,9.631,30.938,33.819,38.344,26.886,37.619,47.975,16.11,17.58,33.69,33.69,43.16,5.11,6.62,14.66,15.2,4.92,0.44,0.88,0.92,47.975,29.15,22.36,51.51,51.51,44.94,7.03,11.55,23.24,26.69,15.2,0.45,1.07,1.3,4,152,43,,,,,,,,,,,97479,152
71.118,70.686,70.686,71.118,71.118,3.408,66.606,67.32,67.71,67.006,38.042,71.118,13.44,14.02,27.45,27.45,42.52,10.51,9.3,20.8,20.81,4.1,0.76,1.03,0.96,71.118,24.77,22.49,47.26,47.26,45.46,13.7,15.89,31.07,31.17,13.29,0.66,1,1.1,5,152,57,,,,,,,,,,,97479,152
49.675,49.426,49.426,49.675,49.675,3.598,42.083,41.988,46.077,38.445,15.612,49.675,11.4,17.1,28.5,28.5,45.17,10.56,7.55,19.53,21.13,0.79,0.69,0.89,0.67,49.675,15.15,20.02,35.17,35.17,40.16,12.22,11.66,25.74,27.81,2.15,0.73,0.86,0.76,6,152,71,,,,,,,,,,,97479,152
45.855,44.309,45.596,45.855,44.558,27.725,15.465,12.033,18.13,9.555,0,45.855,14.75,15.47,30.23,30.69,35.13,3.13,2.41,14.01,17.66,0,0.46,1,0.98,45.855,17.56,20.49,38.05,38.66,42.67,4.64,3.35,20.19,26.04,0,0.53,0.93,0.88,7,152,346,,,,,,,,,,,97479,152
48.401,48.078,48.078,48.401,48.401,33.344,14.962,14.962,15.057,15.057,1.44,48.401,10.95,12.21,23.16,23.16,25.24,1.78,1.62,10.93,10.93,0.05,0.47,0.92,0.9,48.401,15.72,16.76,32.48,32.48,34.24,2.68,2.39,16.29,16.29,0.18,0.5,0.96,0.94,1,419,0,,,,,,,,,,,87780,419
50.353,47.917,50.126,50.353,48.146,27.601,19.709,19.582,22.752,16.719,5.388,50.353,10.99,11.04,22.03,22.19,25.37,,,,,0.35,0.39,1.01,1.07,50.353,16.64,16.87,33.52,33.55,37.28,3.49,3.55,15.58,18.03,0.81,0.46,0.99,1.08,2,419,28,,,,,,,,,,,87780,419
52.642,52.323,52.323,52.642,52.642,27.346,23.533,23.791,25.296,22.384,29.704,52.642,8.81,12.2,21.01,21.01,23.23,,,,,3.59,0.62,0.71,0.72,52.642,14.02,14.66,28.68,28.68,31.7,4.6,7.25,24.63,25.62,6.79,0.86,0.85,0.96,3,419,42,,,,,,,,,,,87780,419
58.688,58.343,58.343,58.688,58.688,2.704,52.865,54.416,55.984,51.904,34.455,58.688,11.71,7.15,18.86,18.86,36.26,5.01,6.47,12.04,12.14,1.8,0.64,1.23,1.64,58.688,15.42,14.88,30.29,30.29,60.94,8.86,11.37,21.21,21.45,5.01,0.7,0.92,1.04,4,419,56,,,,,,,,,,,87780,419
24.319,24.229,24.229,24.319,24.319,10.847,13.396,10.954,13.472,11.008,3.592,24.319,9.68,10.08,19.77,19.77,27.5,3.76,4.27,14.47,17.25,0.67,0.73,0.94,0.96,24.319,15,15.19,30.19,30.19,37.41,5.18,6.12,20.37,23.81,1.06,0.67,0.95,0.99,5,419,71,,,,,,,,,,,87780,419
71.412,70.971,70.971,71.412,71.412,34.735,36.496,35.476,36.677,35.669,0,71.412,10.88,12.03,22.91,22.91,28.83,2.69,2.5,10.12,10.2,0,0.44,0.93,0.9,71.412,13.89,14.41,28.31,28.31,33.24,4.64,4.16,17.15,17.34,0,0.61,1,0.96,6,419,84,,,,,,,,,,,87780,419
49.007,48.698,48.698,49.007,49.007,3.375,45.286,40.996,45.632,41.313,0,49.007,8.36,7.38,15.75,15.75,22.1,3.77,3.65,7.97,8.05,0,0.51,1.1,1.13,49.007,13.47,10.95,24.43,24.43,25.96,8.31,8.9,18.49,18.79,0,0.76,1.1,1.23,7,419,98,,,,,,,,,,,87780,419
49.627,49.372,49.372,49.627,49.627,43.582,2.64,5.214,6.045,1.855,8.667,49.627,10.61,11.18,21.79,21.79,22.48,0.26,0.68,7.65,9.35,0.66,0.35,0.92,0.95,49.627,15.38,14.14,29.52,29.52,30.18,0.37,0.81,9.63,12.66,1.38,0.33,1.05,1.09,1,475,0,,,,,,,,,,,87780,475
48.74,48.387,48.387,48.74,48.74,48.02,0.726,0,0.72,0,3.3,48.74,13.3,12.37,25.67,25.67,25.93,,,,,0.28,0.78,1.1,1.07,48.74,17.67,17.74,35.41,35.41,35.67,0.36,0,23.84,0,0.4,0.67,1.02,1,2,475,28,,,,,,,,,,,87780,475
101.889,101.154,101.154,101.889,101.889,82.608,16.305,11.442,19.281,8.624,0,101.889,12.24,11.98,24.22,24.22,25.6,,,,,0,0.32,1.02,1.02,101.889,20.59,18.6,39.18,39.18,40.99,1.49,1.24,14.42,18.24,0,0.37,1.11,1.11,3,475,42,,,,,,,,,,,87780,475
56.172,55.754,55.754,56.172,56.172,49.883,3.894,6.237,6.289,3.937,0,56.172,13.95,12.43,26.38,26.38,26.5,,,,,0,0.36,1.07,1.12,56.172,19.25,18.01,37.25,37.25,37.67,0.5,1.23,15.36,19.29,0,0.41,1.03,1.07,4,475,56,,,,,,,,,,,87780,475
